funkcja straty to było MAE, a nie MSE

MSO 10

Rozpoczynam trening (Maksymalnie 2000 epok, Cierpliwość: 80)...
Epoka 580/2000 | Strata MSE: 0.007126
Epoka 590/2000 | Strata MSE: 0.007071
Epoka 600/2000 | Strata MSE: 0.007057
Epoka 610/2000 | Strata MSE: 0.007093
Epoka 620/2000 | Strata MSE: 0.007023
Epoka 630/2000 | Strata MSE: 0.007003
Epoka 640/2000 | Strata MSE: 0.007016
Epoka 650/2000 | Strata MSE: 0.007003
Epoka 660/2000 | Strata MSE: 0.007014
Epoka 670/2000 | Strata MSE: 0.006975
Epoka 680/2000 | Strata MSE: 0.007016
Epoka 690/2000 | Strata MSE: 0.006982
Epoka 700/2000 | Strata MSE: 0.006956
Epoka 710/2000 | Strata MSE: 0.006981
Epoka 720/2000 | Strata MSE: 0.006964
Epoka 730/2000 | Strata MSE: 0.006956
Epoka 740/2000 | Strata MSE: 0.006962
Epoka 750/2000 | Strata MSE: 0.006940
Epoka 760/2000 | Strata MSE: 0.006948
Epoka 770/2000 | Strata MSE: 0.006935
Epoka 780/2000 | Strata MSE: 0.006941
Epoka 790/2000 | Strata MSE: 0.006961
Epoka 800/2000 | Strata MSE: 0.006943
Epoka 810/2000 | Strata MSE: 0.006928
Epoka 820/2000 | Strata MSE: 0.006914
Epoka 830/2000 | Strata MSE: 0.006944
Epoka 840/2000 | Strata MSE: 0.006931
Epoka 850/2000 | Strata MSE: 0.006934
Epoka 860/2000 | Strata MSE: 0.006904
Epoka 870/2000 | Strata MSE: 0.006926
Epoka 880/2000 | Strata MSE: 0.006905
Epoka 890/2000 | Strata MSE: 0.006898
Epoka 900/2000 | Strata MSE: 0.006898
Epoka 910/2000 | Strata MSE: 0.006918
Epoka 920/2000 | Strata MSE: 0.006922
Epoka 930/2000 | Strata MSE: 0.006906
Epoka 940/2000 | Strata MSE: 0.006899
Epoka 950/2000 | Strata MSE: 0.006922
Epoka 960/2000 | Strata MSE: 0.006881
Epoka 970/2000 | Strata MSE: 0.006911
Epoka 980/2000 | Strata MSE: 0.006912
Epoka 990/2000 | Strata MSE: 0.006894
Epoka 1000/2000 | Strata MSE: 0.006916
Epoka 1010/2000 | Strata MSE: 0.006914
Epoka 1020/2000 | Strata MSE: 0.006901
Epoka 1030/2000 | Strata MSE: 0.006894
Epoka 1040/2000 | Strata MSE: 0.006902

[!] EARLY STOPPING: Przerwano trening w epoce 1040!
Brak poprawy o minimum 1e-06 od 80 epok.
Trening zakończony. Załadowano najlepsze wagi ze stratą MSE: 0.006881

MSO 0 gotowe i zapisane!


MSO 10 z dłuższym oknem:
Rozpoczynam trening (Maksymalnie 2000 epok, Cierpliwość: 80)...
Epoka 10/2000 | Strata MSE: 0.021544
Epoka 20/2000 | Strata MSE: 0.016027
Epoka 30/2000 | Strata MSE: 0.011807
Epoka 40/2000 | Strata MSE: 0.012319
Epoka 50/2000 | Strata MSE: 0.011289
Epoka 60/2000 | Strata MSE: 0.011456
Epoka 70/2000 | Strata MSE: 0.010820
Epoka 80/2000 | Strata MSE: 0.010347
Epoka 90/2000 | Strata MSE: 0.010516
Epoka 100/2000 | Strata MSE: 0.010190
Epoka 110/2000 | Strata MSE: 0.011920
Epoka 120/2000 | Strata MSE: 0.010165
Epoka 130/2000 | Strata MSE: 0.010279
Epoka 140/2000 | Strata MSE: 0.009553
